Id,ProductionBudget,DomesticGross,WorldwideGross,DomesticBoxOffice,InternationalBoxOffice,WorldwideBoxOffice,DomesticDVDSales,DomesticBluRaySales,TotalDomesticVideoSales,OpeningWeekend,Legs,InflAdjDomBO,RunningTime
117,190000000,144840419,353497733,144840419,208657314,353497733,31123060,18567564,49690624,50085184,2.89,192051618,141
118,190000000,137855863,315709697,137855863,177853834,315709697,46602981,22377652,68980633,30051075,4.59,198115562,95
119,190000000,101854397,411054397,101854397,309200000,411054397,23384771,35882069,59266840,37285325,2.73,134985888,131
120,190000000,58300287,207500287,58300287,149200000,207500287,,,,37678467,1.55,58300287,138
121,190000000,40463197,160163197,40463197,119700000,160163197,2466851,6287738,8754589,10749011,3.76,40463197,148
122,187500000,123087120,333771037,123087120,210683917,333771037,34982081,30633634,65615715,39155217,3.14,157129054,92
123,186000000,318604126,584877827,318604126,266273701,584877827,183649818,14895465,198545283,102118668,3.12,478323983,126
124,185000000,536625724,1010086005,536625724,473460281,1010086005,265801462,35192871,300994333,158411483,3.39,801781376,152
125,185000000,317101119,786635413,317101119,469534294,786635413,119134599,,119134599,100137835,3.17,476093321,123
126,185000000,237282182,554606532,237282182,317324350,554606532,141241012,56917879,198158891,66323594,3.58,321344308,93
127,185000000,168052812,568652812,168052812,400600000,568652812,16603000,23411669,40014669,61025472,2.75,201963138,118
128,185000000,158848340,335673708,158848340,176825368,335673708,10935633,31746109,42681742,59253211,2.68,197963586,122
129,185000000,113929605,489181357,113929605,375251752,489181357,8106450,15073478,23179928,36948713,3.08,134077091,118
130,185000000,92054159,258157449,92054159,166103290,258157449,5142893,24485507,29628400,32753122,2.81,110621805,164
131,185000000,62253077,250367666,62253077,188114589,250367666,10548441,16223795,26772236,29033832,2.14,73262896,128
132,185000000,55817425,168717425,55817425,112900000,168717425,6020414,9868728,15889142,26205415,2.13,59165372,132
133,182000000,355559216,1046587513,355559216,691028297,1046587513,14061731,30387095,44448826,91500929,3.89,418441956,128
134,180000000,315058289,850482778,315058289,535424489,850482778,17526654,56890512,74417166,122744989,2.57,378561120,130
135,180000000,291710957,720539572,291710957,428828615,720539572,370026155,,370026155,65556312,4.45,487922926,140
136,180000000,241407328,758536735,241407328,517129407,758536735,42296295,42984952,85281247,69431298,3.48,318527656,97
137,180000000,234037575,811724385,234037575,577686810,811724385,28161425,42888070,71049495,74403387,3.15,291162496,133
138,180000000,223808164,532508025,223808164,308699861,532508025,168514262,1694879,170209141,63087526,3.55,336023876,100
139,180000000,140125968,256585882,140125968,116459914,256585882,41582122,,41582122,49100158,2.85,219557834,91
140,180000000,126643061,348902025,126643061,222258964,348902025,12610981,13061937,25672918,38527856,3.29,157827996,110
141,180000000,73864507,180047784,73864507,106183277,180047784,18604353,16044112,34648465,11364505,6.5,100290350,126
142,180000000,40479370,215098356,40479370,174618986,215098356,3632451,8432314,12064765,17007624,2.38,48647445,129
143,179000000,47482519,184382519,47482519,136900000,184382519,8640800,11248574,19889374,18372372,2.58,60719040,127
144,178000000,220159104,786626183,220159104,566467079,786626183,6964269,16098522,23062791,61236534,3.6,260517576,147
145,178000000,155442489,542537546,155442489,387095057,542537546,11921599,21989438,33911037,65769562,2.36,193719069,136
146,178000000,145443742,527267828,145443742,381824086,527267828,21703442,15422222,37125664,45402195,3.2,172105772,113
147,178000000,100206256,367028980,100206256,266822724,367028980,11338882,17065319,28404201,28760246,3.48,132218285,136
148,175000000,426829839,1129576094,426829839,702746255,1129576094,19486669,47977419,67464088,153433423,2.78,502317212,124
149,175000000,364001123,951806722,364001123,587805599,951806722,20461474,26720325,47181799,103261464,3.53,453633762,105
150,175000000,356461711,850309035,356461711,493847324,850309035,62346919,59901373,122248292,90440272,3.94,455831222,95
151,175000000,334580976,878852749,334580976,544271773,878852749,19267783,52782897,72050680,117027503,2.86,402017322,133
152,175000000,325100054,745744980,325100054,420644926,745744980,33677888,53885567,87563455,133682248,2.43,405153590,123
153,175000000,293004164,731463377,293004164,438459213,731463377,224389873,83404199,307794072,68108790,4.3,421144653,89
154,175000000,210460015,796397165,210460015,585937150,796397165,28448489,57351230,85799719,50802605,4.14,252355165,105
155,175000000,201091711,529290830,201091711,328199119,529290830,13957971,34132941,48090912,56237634,3.58,237864796,112
156,175000000,198351526,381687380,198351526,183335854,381687380,88084172,23730503,111814675,59321095,3.34,285097259,95
157,175000000,152901115,383541369,152901115,230640254,383541369,14935374,37020244,51955618,53688680,2.85,183754069,109
158,175000000,150201498,302469017,150201498,152267519,302469017,72536428,16764659,89301087,54713046,2.75,215889615,118
159,175000000,113805681,221229335,113805681,107423654,221229335,,,,27687484,4.11,241501031,107
160,175000000,102491776,405760225,102491776,303268449,405760225,44145118,,44145118,40457770,2.53,153880414,111
161,175000000,100289690,174131329,100289690,73841639,174131329,39302627,,39302627,31192615,3.22,157139941,96
162,175000000,88246220,264246220,88246220,176000000,264246220,,,,21171780,4.17,218688330,135
